Int_ID,Global_ID,Sample_ID,Sample_Description,Oil_Field,Facility_Name,County,Sampling_Date,Link,Source_Type,Detect_Limit,Datum,Latitude,Longitude,Geography_Description,Alkalinity_CaCO3,HCO3Alk_CaCO3,CO3Alk_CaCO3,OHAlk_CaCO3,Hardness_CaCO3,Specific_Conductance,TDS,Temp_C,pH,HCO3,CO3,OH,Br,Cl,SO4,Ca,Mg,K,Na,B,As,Ba,Fe,Mn,Se,Sr,Deuterium,Oxygen_18,NH3,NH4,NO3,Oil_Grease
20,L10007494132,OOE171012-2 (DJ12042-02),"wastewater sample [""waste water""]",BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,10/12/2017,Dom Data,PDF,MDL,NAD 83,35.390889,-119.655973,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),4500,,,,1600,58000,23000,,,5400,<1.0,<1.0,,15000,14,560,49,150,9500,110,110,8.5,3.3,97,390,,,,,,<1.8,
21,L10007494132,P-2 Influent (1902508-01),P-2 Pond Influent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,5/16/2019,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/1350531458/L10007494132.PDF,PDF,MDL,NAD 83,35.38473,-119.650698,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),900,900,<3.3,<3.3,,28000,18000,,7.61,1098,<1.98,<1.12,27,9500,150,260,94,97,6200,60,40,3.5,0.13,180,47,7.6,-59.3,-5.22,120,130,<44,55
22,L10007494132,P-23 Effluent (1902508-02),P-23 Pond Effluent (MCK 1-3),BELGIAN ANTICLINE,"BELGIAN ANTICLINE, MCKITTRICK 1 & 1-3 FACILITY",Kern,5/16/2019,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/1350531458/L10007494132.PDF,PDF,MDL,NAD 83,35.389244,-119.646557,DERIVED LOCATION OF SUMP (APPROXIMATE SAMPLING LOCATION),970,970,<3.3,<3.3,,26000,17000,,7.89,1183.4,<1.98,<1.12,27,8000,170,230,86,87,5400,55,40,3,0.048,170,85,6.8,-56.8,-4.8,95,98,<44,22
23,L10001549897,S-23D (Pond Water),Pond wastewater,COALINGA,"COALINGA OIL FIELD, SECTION 23D LEASE",Fresno,12/17/2009,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4963957846%2F3-23-2010_Amec_Chevron_Coalinga.pdf,PDF,,NAD 83,36.166255,-120.411619,FACILITY LOCATION - DERIVED,1000,1000,<1.0,<1.0,480,14000,8200,,7.6,1220,<0.60,<0.34,,4100,260,110,50,54,2900,53,,,0.053,,,,-57.82,-5.87,12.159,,<1.0,
24,L10001549897,COFPP3,Wastewater from Impoundment 3,COALINGA,"COALINGA OIL FIELD, SECTION 23D LEASE",Fresno,9/28/2016,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/2963102877/L10001549897.PDF,PDF,,NAD 83,36.165657,-120.41148,IMPOUNDMENT 3/SAMPLING LOCATION,670,670,<4.0,<4.0,,6500,3900,,7.9,817.4,<2.4,<1.36,8,1500,2.6,86,17,170,1200,35,<10,0.86,1,100,<10,2.2,-54.22,-5.78,47.42,,<2.5,73.5
25,L10001549897,COFPP6D,Wastewater from Impoundment 6  duplicate,COALINGA,"COALINGA OIL FIELD, SECTION 23D LEASE",Fresno,11/17/2016,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/2963102877/L10001549897.PDF,PDF,,NAD 83,36.166832,-120.410445,IMPOUNDMENT 6/SAMPLING LOCATION,910,910,<4.0,<4.0,,35000,20000,,8,1110.2,<2.4,<1.36,27,9100,410,410,210,140,6100,81,100,1.5,<0.40,830,<20,15,-45.41,-2.62,29.181,,<25,4.5
26,L10001549897,COFPP6D,Wastewater from Impoundment 6  duplicate,COALINGA,"COALINGA OIL FIELD, SECTION 23D LEASE",Fresno,9/28/2016,https://geotracker.waterboards.ca.gov/esi/uploads/geo_report/2963102877/L10001549897.PDF,PDF,,NAD 83,36.166832,-120.410445,IMPOUNDMENT 6/SAMPLING LOCATION,860,860,<4.0,<4.0,,32000,19000,,7.8,1049.2,<2.4,<1.36,19,10000,430,350,150,130,6400,72,74,1.4,0.011,480,<10,14,-43.33,-2.64,20.67,,<25,<4.6
27,L10007920845,RKW012213-4 (3A22034-04),Wastewater from Pond #2,COALINGA,"COALINGA OIL FIELD, INCA LEASE",Fresno,1/22/2013,https://geotracker.waterboards.ca.gov/view_document?docurl=/regulators/deliverable_documents/2256618678/Inca%20Ins%201%2D22%2D2013%20Rpt%20with%20sample%20data%20%2Epdf,PDF,MDL,NAD 83,36.173366,-120.406294,POND 2/SAMPLING LOCATION,,,,,,8700,5400,,,,,,,2200,,,,,,57,,,,,,,,,,,,
28,L10004649409,Section 1 Produced Water (Sec 1) (A6B1232-01),Section 1 Sump 1 Produced Water,COALINGA,"COALINGA OIL FIELD, SECTION 1 LEASE",Fresno,2/12/2016,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/8625388801/L10004649409.PDF,PDF,"RL, MDL",NAD 83,36.133274,-120.3974,SUMP 1/SAMPLING LOCATION,1200,1200,<30,<30,,,5400,,,1464,<18,<10.2,20,2800,<100,96,35,27,2200,44,<10,2.1,3.3,87,69,2.8,,,,,<102,
29,L10002208811,Sump 1 Section 2 (BG24012-01),Section 2 Sump Produced Water,COALINGA,"COALINGA OIL FIELD, SECTION 2 LEASE",Fresno,2/12/2016,https://geotracker.waterboards.ca.gov/getfile?filename=/esi/uploads/geo_report/8625388801/L10004649409.PDF,PDF,RL,NAD 83,36.132825,-120.414843,SUMP/SAMPLING LOCATION,750,,,,,,2800,,,910,<10,<10,,1100,62,78,21,14,980,25,<20,0.9,2.3,150,<40,3.5,,,,,<20,
30,L10002208811,BG24012-01,Section 2 Sump 1 Surface Water,COALINGA,"COALINGA OIL FIELD, SECTION 2 LEASE",Fresno,7/24/2015,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4966995716%2FPond%20Closure_12-8-16.pdf,PDF,,NAD 83,36.132825,-120.414843,SUMP/SAMPLING LOCATION,750,,,,,,2800,,,910,<10,<10,,1100,<62,78,21,14,980,25,<20,0.9,2.3,150,<40,3.5,,,,,<20,
31,L10001620043,RKW-0812181330 (8LI8030-05),Sump 1 wastewater,COALINGA,"COALINGA OIL FIELD, WHITTIER (AKA: INCA-WHITTIER OR INCA TWIN) LEASE",Fresno,12/18/2008,https://geotracker.waterboards.ca.gov/view_document?docurl=/regulators/deliverable_documents/9686019003/Inca%20Ins%2012%2D18%2D2009%20Rpt%20with%20sample%20data%20%2Epdf,PDF,RL,NAD 83,36.170367,-120.406791,SUMP/SAMPLING LOCATION,,,,,,11000,6200,,,,,,,2700,,,,,,53,,,,,,,,,,,,
32,NGID_SEC2SH,Waste Water Section 2 North (159574),Section 2 North Sump (receives water from Section 34 & 27),COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 2 SHELL,Fresno,1/5/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.223178,-120.314169,APPROXIMATE LOCATION DERVIVED BY 9-22-66 SMR & 1965 AERIAL SURVEY,,,,,,,5340.8,,,,,,,446.8,,,,,,6.78,,,,,,,,,,,,
33,NGID_SEC2SH,"Waste Water Sec., 2 South (159578)",Section 2 South Sump (receives water from Section 2 only),COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 2 SHELL,Fresno,1/5/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.222832,-120.314273,APPROXIMATE LOCATION DERVIVED BY 9-22-66 SMR & 1965 AERIAL SURVEY,,,,,,,10049.2,,,,,,,2787,,,,,,6.6,,,,,,,,,,,,
34,L10003546304,159579,Wastewater Section 26 Sump,COALINGA,"COALINGA OIL FIELD, SECTION 26 LEASE",Fresno,1/5/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.241439,-120.307088,FACILITY LOCATION - DERIVED,,,,,,,4124.8,,,,,,,341.8,,,,,,7.72,,,,,,,,,,,,
35,NGID_SEC36SH,159576,Wastewater Section 36 Sump,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 36 SHELL,Fresno,1/5/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.233114,-120.297449,APPROXIMATE LOCATION DERIVED BY 9-10-69 SMR REPORT & 1965 AERIAL SURVEY,,,,,,,4513.6,,,,,,,1046,,,,,,14.76,,,,,,,,,,,,
36,NGID_SEC6PVF,159675,Section 6 PVF Lease Waste Water to Sump,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 6 PVF,Fresno,1/7/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.217409,-120.386017,APPROXIMATE LOCATION DERIVED BY OIL AND GAS WELL LEASES & 1965 AERIAL SURVEY,,,,,,,4973.6,,,,,,,1276.6,,,,,,10.97,,,,,,,,,,,,
37,L10004649409,159676,Section 1 Amity Lease Waste Water to Sump,COALINGA,"COALINGA OIL FIELD, SECTION 1 LEASE",Fresno,1/7/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.133274,-120.3974,SUMP 1/SAMPLING LOCATION,,,,,,,6603.2,,,,,,,1163.1,,,,,,14.7,,,,,,,,,,,,
38,L10009562448,159677,Section 24 Traders Fee (Incl. 23 Zier & St. Paul) Waste Water to Sump,COALINGA,"COALINGA, PREMIER",Fresno,1/7/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.166329,-120.399058,FACILITY LOCATION - DERIVED,,,,,,,5636,,,,,,,2035.4,,,,,,20.56,,,,,,,,,,,,
39,L10009562448,159678,Section 6 Markel Waste Water to Sump,COALINGA,"COALINGA, PREMIER",Fresno,1/7/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.166329,-120.399058,FACILITY LOCATION - DERIVED,,,,,,,5727.6,,,,,,,1248.2,,,,,,15.47,,,,,,,,,,,,
40,NGID_SEC1112,159679,Section 12 PVF Pilot Lease (Incl. Sec 11) Waste Water to Sump,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 11/12 PVF,Fresno,1/7/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.196061,-120.404238,APPROXIMATE LOCATION DERIVED BY OIL AND GAS WELL LEASES & 1965 AERIAL SURVEY,,,,,,,13030.8,,,,,,,1241.1,,,,,,32.66,,,,,,,,,,,,
41,NGID_SEC30,159680,Crown Lease Section 30 Waste Water to Sump,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 30,Fresno,1/7/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.238648,-120.373258,APPROXIMATE LOCATION DERIVED BY 09-30-57 SMR REPORT & 1965 AERIAL SURVEY,,,,,,,6799.2,,,,,,,2297.8,,,,,,23.35,,,,,,,,,,,,
42,NGID_SEC31,159681,Section 31 WM & M Waste Water to Sump,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 31,Fresno,1/7/1965,https://geotracker.waterboards.ca.gov/regulators/deliverable_documents/4960403919/2-2-65_SMR.pdf,PDF,NA,NAD 83,36.150472,-120.373132,APPROXIMATE LOCATION DERIVED BY 2-2-65 SMR & 1965 AERIAL SURVEY,,,,,,,7503.6,,,,,,,2397.1,,,,,,17.01,,,,,,,,,,,,
43,L10003546304,5E19002-04,Wastewater Section 26D Sump,COALINGA,"COALINGA OIL FIELD, SECTION 26 LEASE",Fresno,5/18/2005,https://geotracker.waterboards.ca.gov/view_document?docurl=/regulators/deliverable_documents/6521523594/5%2D18%2D05%5FA%2DInsp%5F6%2D14%2D05%2Epdf,PDF,,NAD 83,36.241439,-120.307088,FACILITY LOCATION - DERIVED,,,,,,38000,26000,,,,,,,12000,,,,,,58,,,,,,,,,,,,
44,L10003546304,108080900,Discharge pipe into Sump # 6 sample,COALINGA,"COALINGA OIL FIELD, SECTION 26 LEASE",Fresno,8/8/2001,https://geotracker.waterboards.ca.gov/view_document?docurl=/regulators/deliverable_documents/7678783595/8%2D8%2D01%5FA%5FInsp%5F10%2D23%2D01%2Epdf,PDF,,NAD 83,36.241439,-120.307088,FACILITY LOCATION - DERIVED,,,,,,32000,21000,,,,,,,11000,,,,,,66,,,,,,,,,,,,
45,NGID_SEC2SH,198741,Section 2 Sump,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 2 SHELL,Fresno,8/12/1969,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4894573390%2F9-10-69_SMR.pdf,PDF,NA,NAD 83,36.222832,-120.314273,APPROXIMATE LOCATION DERVIVED BY 9-22-66 SMR & 1965 AERIAL SURVEY,,,,,,,11544,,,,,,,3340,,,,,,33.6,,,,,,,,,,,,
46,NGID_SEC6PVF,198742,Section 6 PVF,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 6 PVF,Fresno,8/12/1969,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4894573390%2F9-10-69_SMR.pdf,PDF,NA,NAD 83,36.217409,-120.386017,APPROXIMATE LOCATION DERIVED BY OIL AND GAS WELL LEASES & 1965 AERIAL SURVEY,,,,,,,5749,,,,,,,1298,,,,,,18.3,,,,,,,,,,,,
47,NGID_SEC1112,198743,Section 12 Ward-Seneca,COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 11/12 PVF,Fresno,8/12/1969,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4894573390%2F9-10-69_SMR.pdf,PDF,NA,NAD 83,36.196061,-120.404238,APPROXIMATE LOCATION DERIVED BY OIL AND GAS WELL LEASES & 1965 AERIAL SURVEY,,,,,,,7441,,,,,,,1723,,,,,,17.4,,,,,,,,,,,,
48,L10009562448,198744,Section 24 ,COALINGA,"COALINGA, PREMIER",Fresno,8/12/1969,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4894573390%2F9-10-69_SMR.pdf,PDF,NA,NAD 83,36.166329,-120.399058,FACILITY LOCATION - DERIVED,,,,,,,5302,,,,,,,1461,,,,,,26,,,,,,,,,,,,
49,L10003546304,198745,Section 26,COALINGA,"COALINGA OIL FIELD, SECTION 26 LEASE",Fresno,8/12/1969,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4894573390%2F9-10-69_SMR.pdf,PDF,NA,NAD 83,36.241439,-120.307088,FACILITY LOCATION - DERIVED,,,,,,,4665,,,,,,,368.8,,,,,,5.5,,,,,,,,,,,,
50,NGID_SEC36SH,198769,"Section 36 Water from sump, Coalinga",COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 36 SHELL,Fresno,8/12/1969,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4894573390%2F9-10-69_SMR.pdf,PDF,NA,NAD 83,36.233114,-120.297449,APPROXIMATE LOCATION DERIVED BY 9-10-69 SMR REPORT & 1965 AERIAL SURVEY,,,,,,,7490,,,,,,,2482,,,,,,13.9,,,,,,,,,,,,
51,NGID_SEC36PB,199044,"Section 36, POE-B Lease, Coalinga, 8-25-69",COALINGA,NO OFFICIAL LEASE NAME - DESIGNATED SECTION 36 POE-B,Fresno,8/28/1969,https://geotracker.waterboards.ca.gov/getfile?filename=/regulators%2Fdeliverable_documents%2F4894573390%2F9-10-69_SMR.pdf,PDF,NA,NAD 83,36.228961,-120.39298,APPROXIMATE LOCATION DERIVED BY OIL AND GAS WELL LEASES & 1965 AERIAL SURVEY,,,,,,,3368,,,,,,,573,,,,,,5.14,,,,,,,,,,,,
